id_ptp,ptp_trunk,condition,id,mean_correct_one_square_away_shuff,mean_correct_one_square_away
1,6047ae5...,schema_c,1,0.041666666666666664,0.875
1,6047ae5...,schema_c,2,0.2916666666666667,0.875
1,6047ae5...,schema_c,3,0.041666666666666664,0.875
1,6047ae5...,schema_c,4,0.16666666666666666,0.875
1,6047ae5...,schema_c,5,0.041666666666666664,0.875
1,6047ae5...,schema_c,6,0.2916666666666667,0.875
1,6047ae5...,schema_c,7,0.375,0.875
1,6047ae5...,schema_c,8,0.20833333333333334,0.875
1,6047ae5...,schema_c,9,0.16666666666666666,0.875
1,6047ae5...,schema_c,10,0.08333333333333333,0.875
1,6047ae5...,schema_c,11,0.20833333333333334,0.875
1,6047ae5...,schema_c,12,0.08333333333333333,0.875
1,6047ae5...,schema_c,13,0.08333333333333333,0.875
1,6047ae5...,schema_c,14,0.08333333333333333,0.875
1,6047ae5...,schema_c,15,0.08333333333333333,0.875
1,6047ae5...,schema_c,16,0.2916666666666667,0.875
1,6047ae5...,schema_c,17,0.08333333333333333,0.875
1,6047ae5...,schema_c,18,0.20833333333333334,0.875
1,6047ae5...,schema_c,19,0.20833333333333334,0.875
1,6047ae5...,schema_c,20,0.08333333333333333,0.875
1,6047ae5...,schema_c,21,0.16666666666666666,0.875
1,6047ae5...,schema_c,22,0.16666666666666666,0.875
1,6047ae5...,schema_c,23,0.25,0.875
1,6047ae5...,schema_c,24,0.20833333333333334,0.875
1,6047ae5...,schema_c,25,0.16666666666666666,0.875
1,6047ae5...,schema_c,26,0.3333333333333333,0.875
1,6047ae5...,schema_c,27,0.16666666666666666,0.875
1,6047ae5...,schema_c,28,0.20833333333333334,0.875
1,6047ae5...,schema_c,29,0.16666666666666666,0.875
1,6047ae5...,schema_c,30,0.08333333333333333,0.875
1,6047ae5...,schema_c,31,0.08333333333333333,0.875
1,6047ae5...,schema_c,32,0.3333333333333333,0.875
1,6047ae5...,schema_c,33,0.16666666666666666,0.875
1,6047ae5...,schema_c,34,0.08333333333333333,0.875
1,6047ae5...,schema_c,35,0.20833333333333334,0.875
1,6047ae5...,schema_c,36,0.16666666666666666,0.875
1,6047ae5...,schema_c,37,0.08333333333333333,0.875
1,6047ae5...,schema_c,38,0.041666666666666664,0.875
1,6047ae5...,schema_c,39,0.16666666666666666,0.875
1,6047ae5...,schema_c,40,0.25,0.875
1,6047ae5...,schema_c,41,0.16666666666666666,0.875
1,6047ae5...,schema_c,42,0.2916666666666667,0.875
1,6047ae5...,schema_c,43,0.041666666666666664,0.875
1,6047ae5...,schema_c,44,0.25,0.875
1,6047ae5...,schema_c,45,0.16666666666666666,0.875
1,6047ae5...,schema_c,46,0.16666666666666666,0.875
1,6047ae5...,schema_c,47,0.041666666666666664,0.875
1,6047ae5...,schema_c,48,0.2916666666666667,0.875
1,6047ae5...,schema_c,49,0.125,0.875
1,6047ae5...,schema_c,50,0.16666666666666666,0.875
1,6047ae5...,schema_c,51,0.16666666666666666,0.875
1,6047ae5...,schema_c,52,0.20833333333333334,0.875
1,6047ae5...,schema_c,53,0.25,0.875
1,6047ae5...,schema_c,54,0.25,0.875
1,6047ae5...,schema_c,55,0.2916666666666667,0.875
1,6047ae5...,schema_c,56,0,0.875
1,6047ae5...,schema_c,57,0.4166666666666667,0.875
1,6047ae5...,schema_c,58,0.08333333333333333,0.875
1,6047ae5...,schema_c,59,0.125,0.875
1,6047ae5...,schema_c,60,0.125,0.875
1,6047ae5...,schema_c,61,0.125,0.875
1,6047ae5...,schema_c,62,0.2916666666666667,0.875
1,6047ae5...,schema_c,63,0.16666666666666666,0.875
1,6047ae5...,schema_c,64,0.16666666666666666,0.875
1,6047ae5...,schema_c,65,0.125,0.875
1,6047ae5...,schema_c,66,0.125,0.875
1,6047ae5...,schema_c,67,0.125,0.875
1,6047ae5...,schema_c,68,0.08333333333333333,0.875
1,6047ae5...,schema_c,69,0.125,0.875
1,6047ae5...,schema_c,70,0.20833333333333334,0.875
1,6047ae5...,schema_c,71,0.25,0.875
1,6047ae5...,schema_c,72,0.16666666666666666,0.875
1,6047ae5...,schema_c,73,0.08333333333333333,0.875
1,6047ae5...,schema_c,74,0.125,0.875
1,6047ae5...,schema_c,75,0.25,0.875
1,6047ae5...,schema_c,76,0.16666666666666666,0.875
1,6047ae5...,schema_c,77,0.25,0.875
1,6047ae5...,schema_c,78,0.20833333333333334,0.875
1,6047ae5...,schema_c,79,0.041666666666666664,0.875
1,6047ae5...,schema_c,80,0.2916666666666667,0.875
1,6047ae5...,schema_c,81,0.2916666666666667,0.875
1,6047ae5...,schema_c,82,0.125,0.875
1,6047ae5...,schema_c,83,0.08333333333333333,0.875
1,6047ae5...,schema_c,84,0.25,0.875
1,6047ae5...,schema_c,85,0.125,0.875
1,6047ae5...,schema_c,86,0.08333333333333333,0.875
1,6047ae5...,schema_c,87,0.16666666666666666,0.875
1,6047ae5...,schema_c,88,0.125,0.875
1,6047ae5...,schema_c,89,0.08333333333333333,0.875
1,6047ae5...,schema_c,90,0.125,0.875
1,6047ae5...,schema_c,91,0.25,0.875
1,6047ae5...,schema_c,92,0.041666666666666664,0.875
1,6047ae5...,schema_c,93,0.2916666666666667,0.875
1,6047ae5...,schema_c,94,0.16666666666666666,0.875
1,6047ae5...,schema_c,95,0.16666666666666666,0.875
1,6047ae5...,schema_c,96,0.041666666666666664,0.875
1,6047ae5...,schema_c,97,0.125,0.875
1,6047ae5...,schema_c,98,0.20833333333333334,0.875
1,6047ae5...,schema_c,99,0.20833333333333334,0.875
1,6047ae5...,schema_c,100,0.25,0.875
1,6047ae5...,schema_c,101,0.08333333333333333,0.875
1,6047ae5...,schema_c,102,0.20833333333333334,0.875
1,6047ae5...,schema_c,103,0,0.875
1,6047ae5...,schema_c,104,0.08333333333333333,0.875
1,6047ae5...,schema_c,105,0.16666666666666666,0.875
1,6047ae5...,schema_c,106,0.25,0.875
1,6047ae5...,schema_c,107,0.125,0.875
1,6047ae5...,schema_c,108,0.20833333333333334,0.875
1,6047ae5...,schema_c,109,0.16666666666666666,0.875
1,6047ae5...,schema_c,110,0.08333333333333333,0.875
1,6047ae5...,schema_c,111,0.08333333333333333,0.875
